Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
Transfer,2021-12-03 10:00:31,10:00,(Transfer),-14.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,None
Transfer,2021-12-03 10:00:31,10:00,(Transfer),14.00,EUR,1.0000000000,(Transfer),(Transfer),Boost,,,None
Expense,2021-12-03 07:00:40,07:00,Netflix,-13.99,EUR,1.0000000000,Entertainment,Netflix,Boost,,,None
Expense,2021-12-02 20:00:05,20:00,Eating out - split,-10.39,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-12-01 17:30:57,17:30,T,-4.50,EUR,1.0000000000,Entertainment,T,Unibanco,,,Reconciled
Expense,2021-12-01 10:00:15,10:00,Building administration,-31.44,EUR,1.0000000000,Housing,Building Administration,ActivoBank,,,Reconciled
Income,2021-12-01 08:30:32,08:30,Capital Gains PPR,-4.87,EUR,1.0000000000,Investments,Capital Gains,PPR,,,Reconciled
Transfer,2021-11-30 12:12:33,12:12,Transfer,-470.56,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-11-30 12:12:33,12:12,Transfer,470.56,EUR,1.0000000000,(Transfer),(Transfer),Unibanco,,,Reconciled
Expense,2021-11-26 07:00:21,07:00,Internet,-37.00,EUR,1.0000000000,Personal,Internet & Phone,Boost,,,None
Income,2021-11-25 12:50:41,12:50,Capital Gains T212,-12.00,EUR,1.0000000000,Investments,Capital Gains,Trading 212,,,Reconciled
Income,2021-11-25 12:49:46,12:49,Capital Gains Degiro,197.00,EUR,1.0000000000,Investments,Capital Gains,Degiro,,,Reconciled
Income,2021-11-25 12:47:47,12:47,Capital Gains PPR,3.11,EUR,1.0000000000,Investments,Capital Gains,PPR,,,Reconciled
Transfer,2021-11-25 10:59:25,10:59,Transfer,-1000.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-11-25 10:59:25,10:59,Transfer,1000.00,EUR,1.0000000000,(Transfer),(Transfer),Bankinter,,,Reconciled
Income,2021-11-25 10:59:24,10:59,Salary,1912.93,EUR,1.0000000000,Employer,Salary,ActivoBank,,,Reconciled
Expense,2021-11-25 10:00:14,10:00,Mortgage,-250.00,EUR,1.0000000000,Housing,Mortgage,ActivoBank,,,Reconciled
Transfer,2021-11-25 07:00:42,07:00,Savings,-90.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-11-25 07:00:42,07:00,Savings,90.00,EUR,1.0000000000,(Transfer),(Transfer),Savings,,,Reconciled
Transfer,2021-11-25 07:00:22,07:00,Annual expenses,-60.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-11-25 07:00:22,07:00,Annual expenses,60.00,EUR,1.0000000000,(Transfer),(Transfer),Irregular Expenses,,,Reconciled
Expense,2021-11-24 12:51:31,12:51,Eating out - split,-5.75,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-11-20 09:28:32,09:28,Eating out - split,-7.91,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-11-19 20:35:41,20:35,Groceries split,19.54,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-11-19 20:35:40,20:35,Groceries,-39.09,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-11-19 18:32:37,18:32,SMAS - split,15.08,EUR,1.0000000000,Housing,Water,Splitwise,,,Reconciled
Expense,2021-11-19 18:32:36,18:32,SMAS,-30.16,EUR,1.0000000000,Housing,Water,ActivoBank,,,Reconciled
Transfer,2021-11-19 10:25:45,10:25,Transfer,-100.00,EUR,1.0000000000,(Transfer),(Transfer),Savings,,,Reconciled
Transfer,2021-11-19 10:25:45,10:25,Transfer,100.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Expense,2021-11-17 20:49:05,20:49,Eating out - split,7.50,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-11-17 20:49:04,20:49,Eating out,-15.00,EUR,1.0000000000,Food,Eating out,Boost,,,Reconciled
Expense,2021-11-17 15:06:21,15:06,Cookidoo,-18.00,EUR,1.0000000000,Others,Others,Splitwise,,,Reconciled
Expense,2021-11-16 18:55:29,18:55,Appointment,-73.50,EUR,1.0000000000,Health,Appointments,Unibanco,Desvitalização,,Reconciled
Expense,2021-11-15 11:22:04,11:22,Personal gifts,-96.44,EUR,1.0000000000,Personal,Personal Gifts,Unibanco,Mx keys mini,,Reconciled
Expense,2021-11-12 18:35:41,18:35,Groceries,-48.40,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-11-12 18:35:40,18:35,Groceries split,24.20,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-11-12 17:08:18,17:08,Drinks,-11.50,EUR,1.0000000000,Food,Drinks,Splitwise,,,Reconciled
Expense,2021-11-11 21:55:26,21:55,Eating out - split,16.80,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-11-11 21:55:25,21:55,Eating out,-33.60,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-11-10 12:57:23,12:57,Coffee,-3.25,EUR,1.0000000000,Food,Coffee,Splitwise,,,Reconciled
Expense,2021-11-10 11:16:57,11:16,Electricity - split,19.69,EUR,1.0000000000,Housing,Electricity,Splitwise,,,Reconciled
Expense,2021-11-10 11:16:56,11:16,Electricity,-39.38,EUR,1.0000000000,Housing,Electricity,ActivoBank,,,Reconciled
Income,2021-11-10 07:00:56,07:00,Salary,36.90,EUR,1.0000000000,Employer,Salary,PPR,,,Reconciled
Expense,2021-11-09 20:20:27,20:20,Transport,-5.93,EUR,1.0000000000,Vacations,Transportation,Splitwise,,Vacation,Reconciled
Expense,2021-11-09 19:51:39,19:51,Ticket,-10.00,EUR,1.0000000000,Vacations,Transportation,Splitwise,,Vacation,Reconciled
Expense,2021-11-09 17:21:56,17:21,Eating out - split,-6.19,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-09 17:17:10,17:17,Drinks,5.50,EUR,1.0000000000,Food,Drinks,Splitwise,,Vacation,Reconciled
Expense,2021-11-09 17:17:09,17:17,Drinks,-11.00,EUR,1.0000000000,Food,Drinks,Unibanco,,Vacation,Reconciled
Expense,2021-11-09 14:21:53,14:21,Eating out - split,22.50,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-09 14:21:29,14:21,Eating out,-45.00,EUR,1.0000000000,Food,Eating out,Unibanco,,Vacation,Reconciled
Expense,2021-11-08 23:24:13,23:24,Eating out - split,-39.00,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-08 17:52:36,17:52,Eating out - split,6.30,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-08 17:52:16,17:52,Eating out,-12.60,EUR,1.0000000000,Food,Eating out,Unibanco,,Vacation,Reconciled
Expense,2021-11-08 15:36:44,15:36,Eating out - split,-29.00,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-07 20:09:02,20:09,Tickets,-3.60,EUR,1.0000000000,Vacations,Transportation,Splitwise,,Vacation,Reconciled
Expense,2021-11-07 19:51:33,19:51,Drinks,-32.00,EUR,1.0000000000,Food,Drinks,Unibanco,,Vacation,Reconciled
Expense,2021-11-07 15:20:07,15:20,Eating out - split,-23.50,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-06 23:55:25,23:55,Eating out - split,18.60,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-06 23:55:02,23:55,Eating out,-37.20,EUR,1.0000000000,Food,Eating out,Unibanco,,Vacation,Reconciled
